owner,project,sha,sha-p,year,language,cve_id,cwe_id,score,severity
pfsense,pfsense,3bdc7f5908ad19af2fc31b873cd07eadeb801bd5,dd34d7d239d823921237c4408559e674f5f0c292,2014,php,,CWE-79,,
mantisbt,mantisbt,3be86ce37bb469b211663da03f61ac2b28500d91,a6a3a136bd05df52f1ea4dd906230ac9ae9d9cad,2014,php,CVE-2014-1608,CWE-89,7.5,HIGH
cakephp,cakephp,3bf2559081c6f47542cf1ee7e52b73976de9a094,5b86377839a97b9d5667a0a08f8e62a79f82a4f3,2015,php,,CWE-89,,
josh,rails,3c0129af6d045654284f60db26124b9324d2fa94,a41619681f7bbf558989b377df8eb8987b694943,2005,rb,,CWE-401,,
mantisbt,mantisbt,3c6f6e5605d9b3a6db6c0934da4771ff8a54f617,a97334abed5c323598644802bfa6cfd815c1206f,2015,php,CVE-2015-2046,CWE-79,4.3,MEDIUM
nextcloud,server,3ddaedee3bcc498b144d3f5df1356eccee7fbb49,2b228fba3463722ad19ea6ccd150b96772508791,2012,php,,CWE-79,,
josh,rails,3ddd7f7ec9b156e4b7de4c23d448c2db98f30504,8ce57652b224c01d474ef20b27ea3c3838534467,2010,rb,CVE-2011-0446,CWE-79,4.3,MEDIUM
mojombo,god,3e4fd2898cd4f92afeba120776dc3ba7f4a6ff0f,c173cedd248239b82f5e432b355a58e859d04b21,2009,rb,,CWE-401,,
openssl,openssl,3e8b6485b342d70e980418bc4bb2c60148d844d8,f2e8488b8521e133f4f6da8dba635c57d1387990,2010,c,CVE-2010-0740,CWE-20,5,MEDIUM
openssl,openssl,3f3582139fbb259a1c3cbb0a25236500a409bf26,05aef4bbdbc18e7b9490512cdee41e8a608bcc0e,2016,c,CVE-2016-2106,CWE-189,5,MEDIUM
php,php-src,3f7b92c06c6e4cbcd9bc949289b51756cfb658bf,99c56139c75b48914103bc2351b5422465f3f97e,2008,c,,,,
moodle,moodle,3fe3851d57edb91865702ff7d90c1e1d3f6f2b03,a0bac19d81e04081cb2409110eb538adf3998c36,2002,php,,CWE-79,,
josh,rails,4003a5bd76ece6d5273e00bf9f468fbdcf9ce1d6,4c34ad37b2e15731ecf22686fa98755ca0c4757e,2014,rb,CVE-2014-4671,CWE-352,4.3,MEDIUM
ci-bonfire,Bonfire,401cca69ee8b7e3a7c4111869dfb7426305448b8,66fdc596915721cf699448233e2eca756c59f4f6,2014,php,,CWE-260,,
jenkinsci,winstone,410ed3001d51c689cf59085b7417466caa2ded7b,507e1a9faf90d8a3e267a2ce5de7c18b0b9dc2ea,2011,java,CVE-2011-4344,CWE-79,2.6,LOW
phusion,passenger,4043718264095cde6623c2cbe8c644541036d7bf,a63f1e9cd8148dfaac08b00d74ef2b59bc2c9dd4,2017,h,CVE-2017-16355,CWE-200,1.2,LOW
joomla,joomla-cms,4057d02029a83a6e6ff372fea47a844e31d0aff6,840c8605e10d8ea92ee7f3304eb574f20147d460,2007,php,,CWE-89,,
freebsd,freebsd,40ccde4c2ef8c5eef8c3e4415832b6c10c308301,7cc967f0e00c8467ec7dc3d76556fbe5d10826ca,2016,c,,CWE-404,,
openssl,openssl,410e444b71bca5af929fe82162cbe37e31c82083,a91be10833e61bcdc9002de28489405101c52650,2014,c,CVE-2014-0195,CWE-119,6.8,MEDIUM
MISP,MISP,415d85102d5aa5f96f4f11a17c86b59bb9cc0d56,9b67e5ecdb967c1c5e8a45435d141e57357b1633,2015,php,,CWE-94,,
micahflee,onionshare,426d744d586502935935139dfeb81fb12568f4e4,05ec78dc34cfd1ef92ace06be2d58c50d6090219,2014,py,,CWE-208,,
grails,grails-core,426fd41c3f10343506e86a85338bd3b34714b5f2,e6d2467ef35804fb8e10db129a28457f4cc23298,2014,java,GRAILS-10813,CWE-79,,
moodle,moodle,4287c1c2a043f3f0447730ced74e0ddb1b6004eb,7d8f881a493c858366ccb9d27e7f727fd77da439,2010,php,MDL-24058,CWE-89,,
mongodb,mongo-php-driver-legacy,43109ef9157de31e7056ddf1dc5cbd74cc173230,3705a32fcb655d728fee7dd358a0762e0531134d,2014,c,,CWE-401,,
cakephp,cakephp,43db90d1b9cdcac0606b038332246eb463d2b839,23f559a4b079911bdf65ec922368ce81ec1461cc,2007,php,,,,
realm,realm-cocoa,4401ff8f740341498d211fd4f33a6d43675f0789,208094562f732387ff8e62d5994b5d311dfcdfe1,2014,mm,,CWE-401,,
rubinius,rubinius,448f5dc7e41b87ea3644dcdabaf2150ef2617ecd,0f2be377d10a9b878b404dcde5e437b69ca8edf6,2017,cpp,,CWE-401,,
jnicklas,merb-core,449b212581a04c4d6fab06afa604eabb662e5cdf,30769309f5d6290ac2adaf410073bf37e2c1a2b2,2008,rb,,CWE-384,,
vanilla,vanilla,44de5f807dfd621e9a9f43b0bd159be532ba0b51,43ec3c51c6606e483642b4f639b9f13a673b13ef,2013,php,,CWE-915,,
mantisbt,mantisbt,44e140e9f634266d0a2f3101a9f2809a97702138,b8dc99376f4b0dde8e8c210086df5809061d01ed,2013,php,CVE-2013-1931,CWE-79,4.3,MEDIUM
moodle,moodle,45ae1da26333c747c7900e284944521a519c6dd8,3f08e9b98a4ef39a5ce4aca110aecaa3bc873b7c,2015,php,CVE-2015-5336,CWE-79,3.5,LOW
realm,realm-cocoa,45b8dcf36cdda8819cf0b98c233ee8d9fe7b2006,784274fe641361e7292402b3d46c4aad2a8eb211,2015,mm,,CWE-401,,
mantisbt,mantisbt,45f9e746fb9a42e74b668211372d9e45db3e7b6c,f5ac454eb63fde102347a021a2af0c535033d572,2013,php,CVE-2013-0197,CWE-79,4.3,MEDIUM
dlitz,pycrypto,4669b04c6f9e4cb895abd227dffc7f6718425a70,80252248ab1ac8599b946e026dd8895146977903,2011,py,,CWE-208,,
josh,rails,4818bb36ac1a2a98bc61839ba87a654a78faadbe,e63be2769c039e4e9ada523a8497ce3206cc8a9b,2014,rb,,CWE-401,,
php,php-src,4846e56d4054fbb733ffcd2512d94434a5ae4bd9,9061bf39bd0b5e9a554200e2d2f67e15e2d5729c,2009,c,,,,
openssl,openssl,48c054fec3506417b2598837b8062aae7114c200,c1ef7c971d0bbf117c3c80f65b5875e2e7b024b1,2016,c,CVE-2016-6308,CWE-399,7.1,HIGH
Graylog2,graylog2-server,4952a08b81be428b28975523abab29cdd8a37c1b,ecfeee91aa1ba1226c64513f7daff79d1c904198,2016,config_files,,CWE-928,,
php,php-src,4a01ddfb5569da1b87dd4cac95c3f709fb607396,bb4d11b405ae1f37a8b0e4db630e80c5678f0746,2013,c,,,,
openssl,openssl,4a23b12a031860253b58d503f296377ca076427b,80bd7b41b30af6ee96f519e629463583318de3b0,2014,c,CVE-2014-3512,CWE-119,7.5,HIGH
nextcloud,server,4a47fa255d12fc4cfcd3b675d4664398e0a72730,b0420ee8bec3146273e633b179f7e10423849434,2012,js,,CWE-79,,
openstack,nova,4a60c6a655006b2882331844664fac5cf67c5f34,62d4d458d6e048eaeaf2621d8a70969b71c6d235,2014,py,,CWE-208,,
phpmyadmin,phpmyadmin,4ab34edba6a14dfdad988310a88e1b3770c6ab64,cbcf740adbad341c05705de6506908f41a24fbcf,2016,php,,CWE-94,,
nextcloud,server,4bc88ef59d0f57b850c88c17469547ec66f76e79,d5566d026745da8fbfc6648184b5b7890956faf9,2012,js,,CWE-79,,
krb5,krb5,4c023ba43c16396f0d199e2df1cfa59b88b62acc,6d6a8b0e1425b4094f417919ce9c49cc72b608e1,2013,c,CVE-2013-1417,CWE-20,3.5,LOW
mongodb,mongo-php-driver-legacy,4cca4c1910fabb8a3ceeca3895a2af405fe818bb,5762d1604744a6bef7895e0064c18ac1582a63f9,2012,c,,CWE-401,,
rubinius,rubinius,4d1ac215d1dd0e2e3b14b0888b0772dc809bd7f1,93e172e442fee63130bd6cd33523446f43a0ea13,2011,rb,,,,
frappe,erpnext,4d713ac5ba1929e8cac886365af152a54d481340,eb7fea673bb147677a15eb5da3351fa1576f006e,2014,py,,CWE-89,,
josh,rails,4e3ed5bc44f6cd20c9e353ab63fd24b92a7942be,3dea8b580b9c67bb27c01290fb3b17f446544b78,2007,rb,,CWE-352,,
josh,rails,4e9dd5378bd5bfaa095a96068c7d1b7c4f47e1b0,0c7ac34aed1845044cd1911e5a775366d7ca41c1,2013,rb,CVE-2013-6417,CWE-264,6.4,MEDIUM
php,php-src,4ebb4060f918cc15d2e7be7f37ae71ada92e9646,1db171deb8d99dcf9cb453886816338374b32653,1999,c,,,,
joomla,joomla-cms,4f455b16ea0c10d72045d0b15419a16d66046036,9c33979356e300c02842dc7a71f4294814b4edb7,2007,php,,CWE-89,,
php,php-src,4ffedc700dffa57b72ffda663f2a015e0f658451,4b14c11dcd4d27519b9c03d7acf638f9bface169,2011,c,,CWE-916,,
openssl,openssl,5059658219465c2e3e15f45c5ca3a0d251cd5fba,d9f0016bc57ac680d30aa1f32c9aef91acfe5aa4,1999,c,,CWE-401,,
vanilla,vanilla,50c55bed8fcca7c67f6c385d6599fd1356e68e10,5f6f4afb8cb371d53c97dddcd31ee227cdade6fb,2010,php,,CWE-79,,
phpmyadmin,phpmyadmin,50d1a4884306ae6705f0bb665ba71da24089b6fe,4b133e277f1e7116ff30b2d0000019d1d58749d8,2012,php,CVE-2012-4345,CWE-79,3.5,LOW
owncloud,core,5155f589fd93132fdeb39b04fc18e30a5643cbf6,cde60dba0f45cbfbe32059a50eb37c41e9da990b,2012,php,,CWE-79,,
mantisbt,mantisbt,517cd271cc72b5ed258dd95d70dc42f8602338d9,d9db796f8973696bb606dc03ce42857f6d160d78,2010,php,,CWE-352,,
openSUSE,open-build-service,5281e4bff9df31f1f91e22a0d1e9086b93b23d7e,6a1c1a1d58c1dd0046bc011e2bc27a052b16377e,2011,rb,CVE-2011-4181,CWE-20,5,MEDIUM
ci-bonfire,Bonfire,52dc58de0ecc67374d112002eb31ed01cc43a11c,cbbbedc362a4bdf3887ae26dedb569bf123c9a62,2013,php,,CWE-352,,
php,php-src,52e0c4081f8454e9086fc7d1bd1a338ac4e05868,bcd64a9bdd8afcf7f91a12e700d12d12eedc136b,2016,c,,CWE-416,,
moodle,moodle,52ecd1de0ab6fe4c8752cdd38b26b6bd3f9db95d,da4c33f510aabc0d7443c29a7c097cfd54b6c4a4,2014,php,MDL-48368,CWE-79,,
lxc,lxc,5371906219ff19886169612993efbb8e82f749a7,2802732032aeaabe8c793ae76112d9c8ba13ee23,2013,c,,CWE-402,,
technoweenie,restful-authentication,53f3f3b3eda05a2d064bb424fb014f646ae72957,c855a1653ee6fe2b112e041ff92ce1aa507434d6,2008,rb,,,,
Graylog2,graylog2-server,54b6c06ecc58d44459001571a1fd258e8af6d68b,ac6493c909d78914d44800dc3c9b7428af80ae31,2016,config_files,,CWE-928,,
exponentcms,exponent-cms,559792be727f4e731bfcb3935f5beec7749e9ce9,b276cf46a1e8f38cad80e47d68527eb3b1bbceea,2016,php,CVE-2016-9283,CWE-89,5,MEDIUM
Netflix,SimianArmy,553e15873a7659a2696663f162941177f436c331,0100228e3e1c85d9490d735f89077cb01418e1a3,2014,config_files,,CWE-928,,
Graylog2,graylog2-server,55c17eae2e7f7ea12602c6019e18dd528b248646,1e4ae741ef0a160630628cc9e1d31bfdbb581998,2013,java,,CWE-22,,
moodle,moodle,5642a8e51586df7a129b14904ea4f558fd704e9d,e6c2edbf7c1b5c247330a7ba430b1912a980ecc7,2010,php,MDL-23590,CWE-89,,
pfsense,pfsense,57627d9f3152f6ea984d3cdff71fa6e888784701,bef1056048aa2e0839fd5839e83da154f06c8c2c,2014,php,,,,
curl,curl,5796c7b1322375da0fa15620ca1a9c825df0ab01,dc2ea33e32ba9aeecdcd33c0541a9e33a85774ba,2007,c,,CWE-401,,
josh,rails,586a944ddd4d03e66dea1093306147594748037a,8a39f411dc3c806422785b1f4d5c7c9d58e4bf85,2011,rb,,CWE-79,,
cakephp,cakephp,587a04ab84f2ffeb5bff7ab06a7790bc201581ed,aae0f762dd19c5bc2d171d7c8b06d63bebebe381,2013,php,,CWE-79,,
php,php-src,5880428dac00ff9bafccb8c10c7226d6fa1dabbb,dad793630d5966a9c22f3fcd7f24b7937bd1a36f,2016,c,,CWE-401,,
mantisbt,mantisbt,58a67eef218321bed2d1584b092cce1bc73d4cc9,40840f412cf0166c2e7442d3d7fd2ebdac53bd8c,2009,php,,,,
BradLarson,GPUImage,5a1ea832cca2f9b402444af0ed1537f3df74199a,2f8e61c4ffcdfa93ee3d8f39f8110e61cfc3daf1,2013,m,,CWE-401,,
facebook,buck,5ae0a0aabff973096fffe610862fb46fd1364c71,f1d8da1511b8f01e59d61b213f533dffd3804b0a,2016,config_files,,CWE-928,,
openssl,openssl,5b0b0e98cec653ae1e65e2251c3e0fc273945df5,d5234c7b3a4ebcd6dcc31a042838d90a27b57c82,2003,c,,CWE-208,,
deeplearning4j,deeplearning4j,5b85fe3577ca13836183057a79e02f92ec9f8d3c,72b70da28e19c1571334e0fd23b2a58cd9441461,2014,java,,CWE-121,,
krb5,krb5,5bb8a6b9c9eb8dd22bc9526751610aaa255ead9c,6609658db0799053fbef0d7d0aa2f1fd68ef32d8,2014,c,CVE-2014-9423,CWE-200,5,MEDIUM
joomla,joomla-cms,5bd36db89c25d352bd58371844804712a4d90519,e7b1362a897fc364d19f10c866bd7f8c563cbcda,2007,php,,CWE-89,,
openssl,openssl,5cb4d6466a14665f8cd659b6dd7746183f2c60bd,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,2016,c,CVE-2016-2179,CWE-399,5,MEDIUM
tornadoweb,tornado,5d430b100abaae34f9241af0d21e86622715d5a7,2b0684028a9ca38318ce5038fa611e7274576e22,2010,py,,,,
MPOS,php-mpos,5d8fecfd812bd74c320919b2e3dfd25421c17dc8,c381af8291bb71a22258d8166f446da1452cb982,2014,php,,CWE-79,,
josh,rails,5dc2e3531babcbdc165884d1a47cbcd13455522d,6ea48ebfa68947ad66a516bdb7452e0faf3f70a7,2013,rb,CVE-2013-1854,CWE-20,5,MEDIUM
zxing,zxing,5dd4b663ceba69a93ed1eca21a2c0a31a10ade43,8c876a047a883b3cad976e52cbd09a30fbd1fe7d,2009,java,,,,
vanilla,vanilla,5de0486df09fd610dd1e122643a3a9dd67d63e50,90a24d801c4ba4c27da2312fe6efa5abb32afb1d,2010,php,,CWE-79,,
pfsense,pfsense,5de32d520bc7eee5ef400951130eef8a5cec9a2f,b67cdd05abde74b43a2fa67b0d7ecb4769ae5ce3,2014,php,,CWE-22,,
mongodb,mongo-php-driver-legacy,5e336f8664ea3c7e5f934ddfa49a7c65ec695bed,1d8402446acf5a00f7fb72de884de12b4458c68a,2013,c,,CWE-401,,
josh,rails,5e6dab8b34152bc48c89032d20e5bda1511e28fb,bd97c3044a7b135f5b84f38c3dbdce2ccc793f70,2009,rb,,CWE-208,,
josh,rails,5ede4ce188d29aef94af78f27d89169ac4ee54cd,7cfa6c535bc54f16a3fc7fa39969d4410de3e483,2008,rb,,CWE-401,,
forkcms,forkcms,5efe4f5ce856010066dba721440c008b3c3d3c4e,a9d22fb220777aa4890b2901f39e1c56b39b43ec,2017,php,,CWE-79,,
saltstack,salt,5f8b5e1a0f23fe0f2be5b3c3e04199b57a53db5b,dd0b3388cf2a1af0b32e61471de23c2e2d2209f1,2017,py,CVE-2017-14696,CWE-20,5,MEDIUM
mantisbt,mantisbt,5faf97abd7c1a1037ff63b8bd1d8df94c71b59cb,cb23fb2486bfa5707a9acc6f1a1329b6588d94cd,2014,php,CVE-2014-8554,CWE-89,7.5,HIGH
mantisbt,mantisbt,603687bdd7ef0ff55761ef888a0433fbdadfc2eb,120e3809b394d0ad6b65eb5a1009c5dc4b157ceb,2005,php,,CWE-79,,
rubinius,rubinius,60381aa5b8b20d4189e67a3dffca5340b992fed1,35999eefcb9df64f81478b504f479f714bd897cd,2008,h,,CWE-119,,
stevedekorte,io,604a92a52d1f1b7fae73b5a81320303ea0939e14,9f4ff16cf02dfe042fee26d7bee44942100a943e,2009,c,,CWE-401,,
josh,rails,605aadb3cdba9f469e88c39c0cad7448d59a9f0c,fc042435a6f571684314d60e9605e3331b7435f9,2007,rb,,CWE-352,,
FFmpeg,FFmpeg,6095388812ce1b2a95e9917b89e5857639208f88,7cbc2e60af72e2154ddc160b1bfce200a95a6532,2013,c,,CWE-134,,
joomla,joomla-cms,60ab157a9e829460d77d73c03784960e351db09c,fb82a9ff4f1bcef944e66a93c98710c5774120b2,2007,php,,CWE-89,,
Graylog2,graylog2-server,60ce52a866d0f35d9afb152a6e7c72be3a3f624c,41a0ddf23af453aa80af1580229261fc9646b4dc,2016,js,,CWE-916,,
mantisbt,mantisbt,610e89b9985bb4f80555ad8835e842becfb274ea,61ef10767ea37c5f278aaf34d4ee39be0bfb7b09,2016,php,,CWE-79,,
MISP,MISP,611317cf81ef5503f7a8d5eebd84bbb5cde09e61,b9f5297b3a3dc6d076852910f3b52719d469509c,2016,php,,CWE-79,,
moodle,moodle,61367eb63944d45a985b6cc4950661fd342773a6,066ec13585c78c4deb74700387c815a7297c996a,2017,php,CVE-2016-10045,CWE-77,7.5,HIGH
exponentcms,exponent-cms,6172f67620ac13fc2f4e9d650c61937d48e9ecb9,0ce8b94d745b818bd207933d9a2e7f32587c2c89,2016,php,CVE-2016-9242,CWE-89,6.5,MEDIUM
php,php-src,617698dfe0f22bfa6041e6f0728136002d30d2bc,c2773ea02f94f4efa0be33f510088e8395caba1f,2015,c,,CWE-134,,
php,php-src,61c7a06e7c19d9b408db1129efa0959a0acbf0b1,dccda88f27a084bcbbb30198ace12b4e7ae961cc,2016,c,,CWE-401,,
openssl,openssl,61e72d761c945e128ca13599a98a187ac23650dd,870063c83db6514b0cb637b86cadbc9f5c2270a9,2015,c,CVE-2015-1794,CWE-189,5,MEDIUM
josh,rails,6256b1de9a2d968b0d123ad6a09b33de01019ae6,08d0a11a3f62718d601d39e617c834759cf59bbb,2014,rb,CVE-2014-0080,CWE-89,6.8,MEDIUM
frappe,erpnext,62c7deee00a8a61942c1434164a4597ce52e7594,fcefc601e09507facd430594307979db65f42650,2017,py,,CWE-89,,
BradLarson,GPUImage,62d2a9f25d30d3dadac0d69a0e92eab8517c382a,ae6337068d981d7c89e69668b73e5202a1ec58f4,2013,m,,CWE-401,,
splitbrain,dokuwiki,634d7150e59d03e4a4987164bfe9948fb8828c70,0e1a261ed103bc8f11934d76ec8c7ec412f02220,2007,php,,CWE-352,,
MPOS,php-mpos,63c3b96a2940a350abd58491a72629b37059479f,795e019d0de3731fab71c98ab0487e84d6f7e952,2014,php,,CWE-352,,
apache,flink,649f9578bce56e118ec973218271262286c534a9,3e85fc6138b555a6a5595fcba73a024b2dd5c179,2016,java,FLINK-4669,CWE-404,,
yigit,android-priority-jobqueue,64facaf74486b40952a6b55b9c83262883aecefd,16fa174851836f3c30bae9c60db32f73157308c8,2013,java,,,,
FreeRDP,FreeRDP,657e6c6a55ffeec9a32d3dcff6add7cca5870398,064bb8ec167c0fcf178466ae2e4954f3134f43d7,2012,c,,CWE-402,,
laravel,framework,65d9a061d9209694e8addd9c6ce94dcf5bfe7180,91fd7f2b95c30af866838270beb91be9a2de55f2,2013,php,,,,
splitbrain,dokuwiki,66b23ce9f134c838f393fa452c450f8b6fc147c3,0d5f4833689967dde7f9fc2cbd1b6ada533bbb73,2009,php,,CWE-79,,
mantisbt,mantisbt,66c142dc3b652cdb07d61f2edbf3a798234ef48a,b35d343671688056efcb63c31b7ac7e177eedcdd,2014,php,CVE-2014-9272,CWE-79,4.3,MEDIUM
josh,rails,66dee26930048a0134f339d20d237a32ced2770d,e4479b2f1bc54edf155408d51dd3236955150ce1,2011,rb,,CWE-384,,
mattpass,ICEcoder,670e3c47a6f952b7f106adf10d7fa965e3bc25f5,4ef49f017212a4da84f4d009285a3eff30c80114,2014,php,,CWE-22,,
django,django,67b46ba7016da2d259c1ecc7d666d11f5e1cfaab,c5544d289233f501917e25970c03ed444abbd4f0,2016,py,CVE-2016-2513,CWE-200,2.6,LOW
josh,rails,67d8bb963d5d51fc644d6b1ca20164efb4cee6d7,3a0b6c8e135e268c1550f93db1b63ba27457dec2,2013,rb,,CWE-401,,
joomla,joomla-cms,686b5fa4e8954be61e547b93b56be586ef1a1303,09c9cd873afe21dc5018b4be104a504490aa32f8,2007,php,,CWE-89,,
curl,curl,686d767053e413feacb95fb7ddd9b3883984a3cb,ed3176dd6b5d9d6d26acc95f297cb3ef763ad54e,2005,c,,CWE-401,,
nextcloud,server,68d55648d5904a86d21fb5258684687a31929011,dc41cf081cac227f0d73b56542fa6295285e170c,2013,php,,,,
owncloud,core,68d55648d5904a86d21fb5258684687a31929011,dc41cf081cac227f0d73b56542fa6295285e170c,2013,php,,,,
josh,rails,68e4442ec720ca6730959681951f5862f97b5772,c5bdf6c5aee61848bee67b307287e2f28ddca173,2012,rb,,CWE-401,,
P0cL4bs,WiFi-Pumpkin,68ed8f58c0a02e2048c27284bbe972e04998a562,acbc25f48028539c4d239647101a314a7b5f6c11,2016,py,,,,
php,php-src,6912dab9ebf0107f3da0b74ef899c536091ece84,79e7432c971e904c84b7774674fc71f805091fd4,2006,c,,,,
HandBrake,HandBrake,69231c990576f34c14054a6f81b09b5a445d1b47,c6633353555fbc58a13ad90f8dfc171430455eae,2017,c,,CWE-402,,
cakephp,cakephp,69e5226fd2b3a9f6386527ef00159a03c53bbf0c,c4031bfd0a45420ef17a4a3eec45971c28e8e31f,2015,php,,CWE-22,,
pfsense,pfsense,69eb2e295fbbea1ff16d4b20e7e056b70469aad4,d09ff9ef322608ea8c496121faccd3d778e71e25,2014,php,,CWE-22,,
josh,rails,69fc0e1b5e6a3227576d67587c386142ef65854e,4751a8c51ff4b9766dcf8324347477095b7f940d,2014,rb,,,,
rubinius,rubinius,6a23ed5d8b1fc7a81769fb502e98625a62e67cca,75842e976ec1db29b3719101c7fd3cca4df1a00c,2013,cpp,,CWE-401,,
josh,rails,6a519401176126cd808aa5e3562a21f34a64de65,8a35865b747e0e96ae53e45997d6742f8f0ccfc3,2005,rb,,CWE-401,,
edx,edx-platform,6a850e27bb97b30447fd46ccfb277367c2ed13c1,4d656061becf7b92dd4de3cc9baf7460ac729386,2013,py,,,,
grails,grails-core,6bc7dd8803c00af64cb146073588ce1bc8bb2e0a,d10659d4aec4ca3a6760f04b3b22a9d0ff656e3d,2012,groovy,GRAILS-9052,CWE-79,,
Graylog2,graylog2-server,6bd76c3e4e0609f7447ba6547a591a1d247dfe51,d30d9b7f9525ef9113ebe52aa8da5394f123d188,2013,config_files,CVE-2013-0156,CWE-20,7.5,HIGH
nextcloud,server,6bdefef31e87f6c1be2ed7693fd2f6d203e32462,127796218314c6b1f19ba86f74caa913375aac8d,2012,php,,CWE-352,,
zxing,zxing,6c5b6849b7f60dd80a93031cfc39808dfac5b84f,1f2699c196285fd2a898478413dbde20b63d6d73,2008,java,,,,
cakephp,cakephp,6c905411bac66caad5e220a70e3d561b8a648507,46f8de72a2be00ab10ebbf6536a50b4982f34701,2012,php,,CWE-611,,
Codiad,Codiad,6e2ff815f1a6267fb33ee69f6bfe6dc24adfc3b9,c42d24cb48a83c19afa8a8ed770ebbad73fa7059,2017,php,,,,
rs,SDWebImage,6e4fbafa554244c2561cf2cb07c5bda1d4e39210,0b47342b2f9f5d7eaabf7a6874feb32604dd0f91,2014,m,,,,
josh,rails,6e655732226eef6fa04d8fc0c4ee1f0436688c49,47134a04bbce216f9c31473b1a0c1a077d624692,2010,rb,,,,
php,php-src,6ecd417b34bd5b957e0f9b76610f94421f38d955,de73bd0123139aaf893a45bbdf6848308e9dd1d7,1999,c,,,,
AFNetworking,AFNetworking,6f63157e33149226bfc2f014748cb5ef5c9a3a9b,2b2558a90e7bfb2ef5169b1ca21b91851e5a5b7d,2012,m,,CWE-401,,
joomla,joomla-cms,6ff55050d016abc1fdc31d4975070fa1c4e6287e,cbdf704d9f3268694aabcca72a1f7bd942f9b641,2007,php,,CWE-89,,
josh,rails,70117b02949ccd724735aec8f4f19db4171e9e05,887870f20c347179aef0545ee2019c02ed9f74d1,2007,rb,,,,
HandBrake,HandBrake,701d4a8d3ed08e94c04cc02cf4c4d0afdc87eafe,c0bb5c4dd1476d975f872cbf0ab317bae6e1160f,2016,c,,,,
cloudius-systems,osv,703bf08d72ef617b212632e038a93be0d00e879f,c284a3f07339b344c40b70ad64d0d554d8738f84,2015,cc,,,,
